Date,Close,High,Low,Open,Volume
2025-08-13,5714.5,5757.5,5648.5,5658.0,427562
2025-08-14,5764.0,5785.5,5710.0,5710.0,415010
2025-08-18,5912.0,6024.5,5825.5,5880.0,1288582
2025-08-19,5938.5,5995.0,5891.5,5918.0,843617
2025-08-20,5937.5,5969.5,5905.0,5964.0,510626
2025-08-21,5975.0,5992.5,5898.0,5990.0,499089
2025-08-22,5924.5,5973.0,5913.5,5970.0,273421
2025-08-25,5990.5,6009.0,5880.0,5945.0,822944
2025-08-26,6151.0,6210.0,5960.0,5980.0,1474805
2025-08-28,6133.0,6269.5,6121.0,6269.5,719052
2025-08-29,6103.0,6174.5,6070.0,6149.0,496302
2025-09-01,6280.0,6292.0,6085.0,6085.0,698178
2025-09-02,6349.0,6388.0,6282.5,6310.5,701158
2025-09-03,6371.5,6379.0,6308.0,6349.0,536107
2025-09-04,6425.0,6713.0,6411.5,6690.0,1181698
2025-09-05,6580.5,6598.5,6440.5,6449.0,610721
2025-09-08,6815.0,6848.0,6569.0,6570.5,968116
2025-09-09,6874.5,6937.0,6779.0,6782.0,983283
2025-09-10,6836.5,6924.5,6802.5,6900.0,740607
2025-09-11,6758.0,6828.5,6750.0,6805.0,719575
2025-09-12,6875.0,6899.0,6762.5,6765.0,731798
2025-09-15,6801.0,6900.5,6787.5,6875.0,380686
2025-09-16,6927.5,6954.5,6800.5,6823.0,579275
2025-09-17,6890.5,6938.0,6879.5,6921.0,310534
2025-09-18,6924.5,6935.0,6868.5,6895.5,224356
2025-09-19,6973.5,7018.0,6925.0,6947.0,550551
2025-09-22,6946.0,7005.5,6925.0,7000.0,332786
2025-09-23,6990.5,7122.5,6978.5,7015.0,679055
2025-09-24,7011.5,7060.5,6927.5,6950.0,323002
2025-09-25,6986.0,7044.5,6932.0,7009.5,375861
2025-09-26,7047.0,7091.0,6965.5,6980.0,679362
2025-09-29,6985.0,7073.5,6969.0,7049.0,612976
2025-09-30,7005.5,7032.5,6951.5,6984.5,363934
2025-10-01,7021.5,7063.0,6950.0,7000.0,313734
2025-10-03,6941.0,7008.5,6850.0,7000.0,669742
2025-10-06,6880.0,6955.5,6865.0,6941.0,218200
2025-10-07,6957.0,6999.0,6880.0,6880.0,286586
2025-10-08,6902.5,7007.0,6889.5,6957.0,476286
2025-10-09,6896.5,6958.0,6818.0,6925.0,405889
2025-10-10,6965.0,6984.0,6876.5,6895.5,282882
2025-10-13,6912.0,7047.0,6896.5,6999.5,342990
2025-10-14,6887.0,6942.0,6815.0,6939.5,309415
2025-10-15,6895.0,6940.0,6865.0,6893.5,237366
2025-10-16,6988.0,7016.5,6892.0,6893.0,319047
2025-10-17,7042.5,7099.0,6988.0,6990.0,402013
2025-10-20,7013.5,7104.5,7007.5,7049.0,326177
2025-10-21,7018.5,7058.0,7005.0,7037.0,14379
2025-10-23,6884.5,7100.0,6869.0,7100.0,419750
2025-10-24,6840.0,6909.5,6792.0,6894.0,243740
2025-10-27,6906.5,6927.5,6838.5,6868.0,228141
2025-10-28,7002.5,7022.0,6905.0,6905.0,485231
2025-10-29,6952.0,7007.5,6889.0,7007.5,343504
2025-10-30,6889.0,6988.5,6869.0,6952.0,412184
2025-10-31,7007.0,7099.0,6902.5,6929.0,670785
2025-11-03,7023.5,7070.0,6996.5,7030.0,334962
2025-11-04,6930.0,7060.0,6906.5,7050.0,494329
2025-11-06,6806.5,6975.0,6793.5,6945.0,435650
2025-11-07,6886.0,6897.0,6720.5,6806.5,465149
2025-11-10,6866.5,6915.5,6800.5,6870.0,514365
